id,category,type,registration_number,deletion_date,registration,country
858627,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,RIE,,OK-RIE,CZ
858633,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,UIA,,OK-UIA,CZ
858639,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,VHA,2003-07-14T14:00:00.000Z,OK-VHA,CZ
858645,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,VHD,2009-02-25T23:00:00.000Z,OK-VHD,CZ
858651,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,VHJ,,OK-VHJ,CZ
858657,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,WHB,,OK-WHB,CZ
858663,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,XIG,,OK-XIG,CZ
858669,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,VHC,,OK-VHC,CZ
858675,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,GIB,,OK-GIB,CZ
858681,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,GIC,,OK-GIC,CZ
858687,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,HIR,,OK-HIR,CZ
858693,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,JIF,,OK-JIF,CZ
858699,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,JIJ,,OK-JIJ,CZ
858705,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,JII,,OK-JII,CZ
858711,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,JIH,,OK-JIH,CZ
858717,AVREG_DATA.CATEGORIES.AIRPLANE,AN 2,JID,,OK-JID,CZ
