aircraft_type,country_prefix,registration_number,category
BB-S,OK,9050,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,4046,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,4048,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,7075,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,7071,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,6068,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,6063,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,6061,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,6060,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,6057,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,5060,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,5057,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,8025,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,8024,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,8020,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,8018,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,5055,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,5054,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB-S,OK,5052,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,4049,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,4047,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,0037,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,0039,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,0048,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,1101,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,0052,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB-S,OK,1065,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,2021,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,1060,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,1041,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,3028,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,3027,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,3025,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,2020,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,3041,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,3039,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,3038,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,3036,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,3032,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,3031,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,3030,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,2018,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,2017,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,2005,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
BB,OK,2002,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
CAMERON HOT AIR BALLOONS,OK,5009,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Standard Cirrus,OK,0453,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,0688,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,1343,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,3712,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,3254,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,2966,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,2947,AVREG_DATA.CATEGORIES.GLIDER
Cirrus-VTC,OK,2910,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,2781,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,0569,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,4444,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,6555,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,6556,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,5147,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,4901,AVREG_DATA.CATEGORIES.GLIDER
