aircraft_type,country_prefix,registration_number,category
L 13 Vivat,OK,9106,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,9119,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,9117,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,9113,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,9110,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13 Vivat,OK,9107,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L-13 B,OK,8902,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 200,OK,OFB,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,OFI,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,OFL,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,OGB,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,OHG,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,PLA,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,PHJ,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,PFM,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,OHF,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,WHN,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,PLV,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,PLR,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,PLO,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,PLL,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,PLJ,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,PLI,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,BAE,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,RMA,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,RHH,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,RFP,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,PRO,AVREG_DATA.CATEGORIES.AIRPLANE
L 23,OK,0202,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0205,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0207,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0208,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0210,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0211,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0213,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0214,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0217,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0219,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0220,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0222,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0223,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0225,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0226,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0228,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0229,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0234,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0235,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0237,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0239,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,0240,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,9200,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,9202,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,9204,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,9201,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,4212,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,4215,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,4214,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,8205,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,8200,AVREG_DATA.CATEGORIES.GLIDER
L 33,OK,4402,AVREG_DATA.CATEGORIES.GLIDER
L 33,OK,4404,AVREG_DATA.CATEGORIES.GLIDER
L 33,OK,6426,AVREG_DATA.CATEGORIES.GLIDER
L 33,OK,8440,AVREG_DATA.CATEGORIES.GLIDER
L 33,OK,4407,AVREG_DATA.CATEGORIES.GLIDER
L 33,OK,8441,AVREG_DATA.CATEGORIES.GLIDER
L 33,OK,2921,AVREG_DATA.CATEGORIES.GLIDER
L 33,OK,3404,AVREG_DATA.CATEGORIES.GLIDER
L 40,OK,NPV,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,NPW,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,MME,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,MMQ,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,MMM,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,MML,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,MMR,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,NPE,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,NPR,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,NPN,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,JPH,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,NPL,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,NPK,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,NPF,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,NOR,AVREG_DATA.CATEGORIES.AIRPLANE
L 40,OK,MMT,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,JOA,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,KJA,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,LKJ,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,NNG,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,NNB,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,MTK,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,MTI,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,MTH,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,MTG,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,MTF,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,MTA,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,NNJ,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,MJN,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,LKR,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,LKN,AVREG_DATA.CATEGORIES.AIRPLANE
L 60,OK,LKH,AVREG_DATA.CATEGORIES.AIRPLANE
LF 107 LUNAK,OK,0817,AVREG_DATA.CATEGORIES.GLIDER
LF 107 LUNAK,OK,0819,AVREG_DATA.CATEGORIES.GLIDER
M 17,OK,3900,AVREG_DATA.CATEGORIES.POWERED_GLIDER
M 17,OK,4900,AVREG_DATA.CATEGORIES.POWERED_GLIDER
M 18,OK,TGG,AVREG_DATA.CATEGORIES.AIRPLANE
M 18,OK,TGH,AVREG_DATA.CATEGORIES.AIRPLANE
M 18,OK,TGR,AVREG_DATA.CATEGORIES.AIRPLANE
M 25,OK,2916,AVREG_DATA.CATEGORIES.GLIDER
M 35,OK,2901,AVREG_DATA.CATEGORIES.GLIDER
Mi 2,OK,UIC,AVREG_DATA.CATEGORIES.HELICOPTER
Mi 2,OK,KIZ,AVREG_DATA.CATEGORIES.HELICOPTER
Mi 8,OK,AXZ,AVREG_DATA.CATEGORIES.HELICOPTER
NIMBUS,OK,8600,AVREG_DATA.CATEGORIES.GLIDER
NIMBUS,OK,8602,AVREG_DATA.CATEGORIES.GLIDER
NIMBUS,OK,6306,AVREG_DATA.CATEGORIES.GLIDER
NIMBUS,OK,6618,AVREG_DATA.CATEGORIES.GLIDER
R 22,OK,BIG,AVREG_DATA.CATEGORIES.HELICOPTER
R 22,OK,ZIL,AVREG_DATA.CATEGORIES.HELICOPTER
R 22,OK,LEA,AVREG_DATA.CATEGORIES.HELICOPTER
ŠK 1,OK,JXA,AVREG_DATA.CATEGORIES.AIRPLANE
SZD 48,OK,3901,AVREG_DATA.CATEGORIES.GLIDER
T 59,OK,2906,AVREG_DATA.CATEGORIES.GLIDER
T 59,OK,2912,AVREG_DATA.CATEGORIES.GLIDER
VENTUS,OK,2530,AVREG_DATA.CATEGORIES.GLIDER
VENTUS,OK,5512,AVREG_DATA.CATEGORIES.GLIDER
VENTUS,OK,9909,AVREG_DATA.CATEGORIES.GLIDER
VSB 62,OK,7900,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4500,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4502,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4506,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4516,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4512,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4510,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4504,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4518,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6532,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6530,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6528,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6526,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6522,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6520,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6518,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5634,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5632,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5630,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5628,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5626,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5624,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5622,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5620,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5618,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5616,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5614,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5612,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5606,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5602,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,5600,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6516,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6514,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6512,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6510,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6508,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6506,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6504,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6500,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7531,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7530,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7529,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7528,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7526,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7524,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7522,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7520,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7518,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7516,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7514,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7506,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7504,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,7502,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,6901,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4528,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4526,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4524,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4522,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,4520,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,8502,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,8505,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,8508,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,8511,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,8540,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9600,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9510,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9506,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9504,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9502,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,8514,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,8510,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,8507,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9614,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9612,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9611,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9609,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9608,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9606,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9605,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9618,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9617,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,9615,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,8504,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0512,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0514,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0516,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,2516,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,1526,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,1524,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,1522,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,1520,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,1516,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,1514,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,1512,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0601,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0600,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0518,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0520,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0522,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0524,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0526,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3514,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3512,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3510,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3508,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3506,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3504,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3502,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3500,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,2514,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3530,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3526,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3524,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3522,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3520,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,3516,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,2508,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,2504,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,2502,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,2500,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,1506,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,1504,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,1500,AVREG_DATA.CATEGORIES.GLIDER
VSO 10,OK,0530,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,9407,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,9415,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,9410,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,9411,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,4307,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,4314,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,7403,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,7402,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,6922,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,6444,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,6434,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,6430,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,6429,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,5524,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8435,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8431,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8430,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8429,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8425,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8424,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8412,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8408,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8406,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8439,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8438,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8436,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8405,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8401,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,7438,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,7425,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,7411,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,7404,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,5510,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,5509,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,4321,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,3902,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,3405,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,3414,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,3424,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,3422,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,3411,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,3403,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,2909,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,2923,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,2924,AVREG_DATA.CATEGORIES.GLIDER
XL 113,OK,9121,AVREG_DATA.CATEGORIES.POWERED_GLIDER
Z 37,OK,AJE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AJJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,CJG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AKO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,CKU,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,CKR,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,CKP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,CJZ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,CJW,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,CJT,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,CJS,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,CJM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,MFW,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,FJU,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,FJT,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,FJP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,FJO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,DKZ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,DKV,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,DKU,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,DKT,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,DKS,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,CXQ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AJS,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AJR,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AJP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AKV,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AKS,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AKR,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AKQ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AKI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AKF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AJI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AJF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,OJA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,OJH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,OJP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,OJL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AGR,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,OJJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,OJI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,OJB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,OJD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,ZJG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,ZJF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,ZJD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,ZJC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,YKD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,YJF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,ZJH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,WJT,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,WJQ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,WJD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,VJV,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,OJE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,OJF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,GJO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,HJC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,LKA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,LJA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,HJT,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,HJM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,HJK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,HJJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,HJI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,HJH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,JKA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,JJD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,JJC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,JJA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJN,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,NJG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,HYA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,HJD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,HJB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,GJW,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,GJV,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,GJU,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,KLN,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,KKB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,KJT,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,KJB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,ZJV,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,ZKB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,HLF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,HLK,AVREG_DATA.CATEGORIES.AIRPLANE
